timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1616691600,Mar 25 2021 - 5:00pm,complete,N/A,Bulgaria,Switzerland,N/A,1,0.00,0.00,0.33,3.00,1,3,4,3,0,3,"46","7,10,13",1,7,1,0,1,0,0,1,0,1,9,14,2,6,7,8,13,18,30,70,0.88,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,3.80,1.50,1.30,1.70,2.85,7.00,2.10,1.67,Stadion Slavija
1616691600,Mar 25 2021 - 5:00pm,complete,N/A,Israel,Denmark,N/A,1,0.00,0.00,1.33,3.00,0,2,2,1,0,1,"","13,67",5,8,2,0,2,0,0,2,1,1,15,15,4,8,11,7,9,10,49,51,1.56,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.25,3.10,1.80,1.42,2.30,4.00,9.00,2.00,1.75,N/A
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Spain,Greece,N/A,1,0.00,0.00,2.33,1.00,1,1,2,1,1,0,"33","57",3,0,1,0,2,0,0,1,0,2,10,2,3,2,7,0,15,10,80,20,1.44,0.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,6.50,19.00,1.20,1.53,2.24,5.00,2.25,1.57,Estadio Nuevo Los Cármenes
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Sweden,Georgia,N/A,1,0.00,0.00,3.00,0.33,1,0,1,1,1,0,"35","",4,2,3,0,1,0,0,3,0,1,11,10,4,4,7,6,19,9,54,46,1.36,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,4.60,12.00,1.30,1.91,3.75,8.00,2.50,1.50,Friends Arena
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Italy,Northern Ireland,N/A,1,0.00,0.00,3.00,0.50,2,0,2,2,2,0,"14,39","",0,5,0,0,2,0,0,0,0,2,14,12,6,5,8,7,8,12,66,34,1.46,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,6.75,17.00,1.25,1.70,3.10,6.00,3.00,1.36,N/A
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Moldova,Faroe Islands,N/A,1,0.00,0.00,0.33,0.33,1,1,2,1,1,0,"9","83",1,3,3,0,3,0,1,2,2,1,9,13,4,4,5,9,15,20,41,59,1.06,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,2.75,2.87,1.53,2.75,6.50,15.00,2.25,1.57,Stadionul Zimbru
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Scotland,Austria,N/A,1,0.00,0.00,1.67,1.33,2,2,4,0,0,0,"71,85","55,80",6,2,4,0,3,0,2,2,0,3,14,11,5,6,9,5,14,16,40,60,1.64,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.00,2.90,1.40,2.20,4.33,10.00,2.00,1.75,Hampden Park
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Andorra,Albania,N/A,1,0.00,0.00,0.00,2.00,0,1,1,1,0,1,"","41",1,6,2,0,5,0,2,0,2,3,3,16,2,6,1,10,25,13,26,74,0.50,1.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.50,4.25,1.30,1.33,1.95,3.75,8.00,2.75,1.40,Estadi Nacional
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,England,San Marino,N/A,1,0.00,0.00,3.00,0.00,5,0,5,3,3,0,"14,21,31,53,83","",7,1,1,0,0,0,0,1,0,0,30,2,15,0,15,2,8,6,84,16,3.81,0.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.00,67.00,201.00,1.01,1.01,1.05,1.14,7.00,1.10,Wembley Stadium
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Hungary,Poland,N/A,1,0.00,0.00,2.33,1.33,3,3,6,1,1,0,"6,53,78","60,61,83",3,3,4,1,2,0,1,4,1,1,10,10,5,4,5,6,20,14,35,65,1.22,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.00,2.05,1.36,2.15,4.00,9.00,1.95,1.80,N/A
1616701500,Mar 25 2021 - 7:45pm,complete,N/A,Germany,Iceland,N/A,1,0.00,0.00,2.00,1.00,3,0,3,2,2,0,"3,7,56","",3,3,1,0,2,0,0,1,0,2,15,9,6,3,9,6,8,11,81,19,1.89,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.12,7.00,21.00,1.10,1.40,2.05,3.00,2.05,1.70,Schauinsland-Reisen-Arena
