"date","home_team","away_team","home_score","away_score","tournament"
1,"Kazakhstan","Albania",0,0,"UEFA Nations League"
1,"Lithuania","Belarus",2,2,"UEFA Nations League"
1,"Gabon","Benin",0,2,"Friendly"
1,"Malawi","Zimbabwe",0,0,"Friendly"
1,"South Africa","Zambia",1,2,"Friendly"
1,"Tanzania","Burundi",0,1,"Friendly"
1,"Burkina Faso","Madagascar",2,1,"Friendly"
1,"Ghana","Qatar",5,1,"Friendly"
1,"Togo","Sudan",1,1,"Friendly"
1,"United Arab Emirates","Uzbekistan",1,2,"Friendly"
1,"Cameroon","South Sudan",0,0,"Friendly"
1,"Germany","Switzerland",3,3,"UEFA Nations League"
1,"Ukraine","Spain",1,0,"UEFA Nations League"
1,"Azerbaijan","Cyprus",0,0,"UEFA Nations League"
1,"Montenegro","Luxembourg",1,2,"UEFA Nations League"
1,"Costa Rica","Panama",0,1,"Friendly"
1,"Mexico","Algeria",2,2,"Friendly"
1,"Mozambique","Angola",0,3,"Friendly"
1,"Niger","Sierra Leone",1,0,"Friendly"
1,"Nigeria","Tunisia",1,1,"Friendly"
1,"Bolivia","Argentina",1,2,"FIFA World Cup qualification"
1,"Ecuador","Uruguay",4,2,"FIFA World Cup qualification"
1,"Venezuela","Paraguay",0,1,"FIFA World Cup qualification"
1,"Peru","Brazil",2,4,"FIFA World Cup qualification"
1,"Chile","Colombia",2,2,"FIFA World Cup qualification"
1,"Italy","Netherlands",1,1,"UEFA Nations League"
1,"Poland","Bosnia and Herzegovina",3,0,"UEFA Nations League"
1,"Iceland","Belgium",1,2,"UEFA Nations League"
1,"England","Denmark",0,1,"UEFA Nations League"
1,"Portugal","Sweden",3,0,"UEFA Nations League"
1,"Croatia","France",1,2,"UEFA Nations League"
1,"Norway","Northern Ireland",1,0,"UEFA Nations League"
1,"Romania","Austria",0,1,"UEFA Nations League"
1,"Scotland","Czech Republic",1,0,"UEFA Nations League"
1,"Slovakia","Israel",2,3,"UEFA Nations League"
1,"Russia","Hungary",0,0,"UEFA Nations League"
1,"Turkey","Serbia",2,2,"UEFA Nations League"
1,"Finland","Republic of Ireland",1,0,"UEFA Nations League"
1,"Bulgaria","Wales",0,1,"UEFA Nations League"
1,"North Macedonia","Georgia",1,1,"UEFA Nations League"
1,"Estonia","Armenia",1,1,"UEFA Nations League"
1,"Greece","Kosovo",0,0,"UEFA Nations League"
1,"Moldova","Slovenia",0,4,"UEFA Nations League"
1,"Lithuania","Albania",0,0,"UEFA Nations League"
1,"Belarus","Kazakhstan",2,0,"UEFA Nations League"
1,"Ethiopia","Sudan",2,2,"Friendly"
1,"Bahrain","Tajikistan",1,0,"Friendly"
1,"Albania","Kosovo",2,1,"Friendly"
1,"Belgium","Switzerland",2,1,"Friendly"
1,"Denmark","Sweden",2,0,"Friendly"
1,"France","Finland",0,2,"Friendly"
1,"Germany","Czech Republic",1,0,"Friendly"
1,"Greece","Cyprus",2,1,"Friendly"
1,"Italy","Estonia",4,0,"Friendly"
1,"Luxembourg","Austria",0,3,"Friendly"
1,"Montenegro","Kazakhstan",0,0,"Friendly"
1,"Netherlands","Spain",1,1,"Friendly"
1,"Poland","Ukraine",2,0,"Friendly"
1,"Romania","Belarus",5,3,"Friendly"
1,"Slovenia","Azerbaijan",0,0,"Friendly"
1,"Turkey","Croatia",3,3,"Friendly"
1,"Guinea","Chad",1,0,"African Cup of Nations qualification"
1,"Mauritania","Burundi",1,1,"African Cup of Nations qualification"
1,"Kenya","Comoros",1,1,"African Cup of Nations qualification"
1,"Senegal","Guinea-Bissau",2,0,"African Cup of Nations qualification"
1,"Libya","Equatorial Guinea",2,3,"African Cup of Nations qualification"
1,"Hungary","Iceland",2,1,"UEFA Euro qualification"
1,"Northern Ireland","Slovakia",1,2,"UEFA Euro qualification"
1,"Serbia","Scotland",1,1,"UEFA Euro qualification"
1,"Georgia","North Macedonia",0,1,"UEFA Euro qualification"
1,"England","Republic of Ireland",3,0,"Friendly"
1,"Jordan","Iraq",0,0,"Friendly"
1,"Lebanon","Bahrain",1,3,"Friendly"
1,"Moldova","Russia",0,0,"Friendly"
1,"United Arab Emirates","Tajikistan",3,2,"Friendly"
1,"Uzbekistan","Syria",0,1,"Friendly"
1,"Bolivia","Ecuador",2,3,"FIFA World Cup qualification"
